Nom_Taxonomique;Noms_valides
?øPSEUDOTOLITHUS SENEGALENSIS;Pseudotolithus senegalensis
3506;Pomadasys sp
4032;Campogramma glaycos
ACANTHOCYBIUM SOLANDRI;Acanthocybium solandri
ACANTHURUS MONROVIAE;Acanthurus monroviae
ACANTHURUS MOROVIAE;Acanthurus monroviae
ADIORYX HASTATUS;Sargocentron hastatus
AJIDAES;Ajidae
ALBULA VULPES;Albula vulpes
ALECTIS ALEXANDRINUS;Alectis alexandrinus
ALEPES AMBLIRHYNCHUS;Hemicaranx bicolor
ALEPOCEPHALUS BARNARDI;Alepocephalus australis
ALLIOTEUTHIS AFRICANA;Alloteuthis africana
ALLOTEUTHIS AFRICANA;Alloteuthis africana
ALLOTEUTHIS SP;Alloteuthis sp
ALLOTEUTHIS SUBULATA;Alloteuthis subulata
ALLUTERUS PUNCTATUS;Aluterus punctatus
ALOPIAS VULPINUS;Alopias vulpinus
ALUTERA BLANKERTI;Aluterus heudelotii
ALUTERA SP;Aluterus sp
ALUTERUS  SCHOEPFII;Aluterus schoepfii
ALUTERUS HEUDELOTII;Aluterus heudelotii
ALUTERUS PUNCTATUS;Aluterus punctatus
ALUTERUS PUNTATUS;Aluterus punctatus
ALUTERUS SCHOEFLII;Aluterus schoepfii
ALUTERUS SCHOEPFII;Aluterus schoepfii
ALUTERUS SP;Aluterus sp
ALUTERUS SPP.;Aluterus sp
ALUTERUS?·SCHOEPFII?·;Aluterus schoepfii
ANCHOA GUINEENSIS;Anchoa guineensis
ANGUILLIFORMES DIVERS;Anguilliformes divers
ANTAGONIA CAPROS;Antigonia capros
ANTENNARIDAE;Antennaridae
ANTENNARIIDAE;Antennaridae
ANTENNARIUS ACCIDENTALIS;Antennarius occidentalis
ANTENNARIUS DELAISI;Antennarius delaisi
ANTENNARIUS OCCIDENTALIS;Antennarius occidentalis
ANTENNARIUS PARDALIS;Antennarius pardalis
ANTENNARIUS SENEGALENSIS;Fowlerichthys senegalensis
ANTENNARIUS SP;Antennarius sp
ANTENNARIUS SPP;Antennarius sp
ANTENNARIUS SPP.;Antennarius sp
ANTENNARIUS STRIATUS;Antennarius striatus
ANTHIA ANTHIAS;Anthias anthias
ANTHIAS ACCRAENSIS;Serranus accraensis
ANTHIAS ANTHIAS;Anthias anthias
ANTHIAS SP;Anthias sp
ANTHIAS SP.;Anthias sp
ANTIGONIA CAPROS;Antigonia capros
APOGON IMBERBIS;Apogon imberbis
APOGONIDAE DIVERS;Apogonidae
APOGONIDAE ET CHILODIPTERIDAE;Apogonidae chilodipteridae
APROS CAPER;Capros aper
APSILUS FUSCUS;Apsilus fuscus
ARAIGN?ÎE DE MER;Araignee mer
ARAIGN?ÎES DE MER;Araignee mer
ARAIGNE DE MER;Araignee mer
ARAIGNEES DE MER DIVERSES;Araignee mer
ARGYEPELICUS GIGAS;Argyropelecus gigas
ARGYROPELECUS GIGAS;Argyropelecus gigas
ARGYROSOA REGIUS;Argyrosomus regius
ARGYROSOMA REGUIS;Argyrosomus regius
ARGYROSOMUS REGIUS;Argyrosomus regius
ARIOA BONDI;Ariomma bondi
ARIOMA BONDI;Ariomma bondi
ARIOMMA BONDI;Ariomma bondi
ARIOSOMA BALEARICUM;Ariosoma balearicum
ARISTEUS ANTENNATUS;Aristeus antennatus
ARISTEUS VARIDENS;Aristeus varidens
ARIUS (JUVENILES + SACS VITELLINS);Arius sp
ARIUS (JUVENILES);Carlarius sp
ARIUS GIGAS;Carlarius gigas
ARIUS HEUDELOTII;Carlarius heudelotii
ARIUS HEUDOLOTII;Carlarius heudelotii
ARIUS LATISCUTATUS;Carlarius latiscutatus
ARIUS MERCATORIS;Carlarius heudelotii
ARIUS PARKII;carlarius parkii
ARIUS SP;Carlarius sp
ARIUS SP (JUVENILES);Carlarius sp
ARNOGLOSSSUS IMPERIALIS;Arnoglossus imperialis
ARNOGLOSSUS CAPENSIS;Arnoglossus capensis
ARNOGLOSSUS IMPERIALIS;Arnoglossus imperialis
ARNOGLOSSUS SP;Arnoglossus sp
ARNOGLOSSUS SP.;Arnoglossus sp
ASCIDIES;Ascidiae
AST?ÎRIDES;Asteridae
ASTERIDAE;Asteridae
ASTERIDES + CRABES;Asterides + crabes
ASTRONESTHES MACROPOGON;Astronesthes macropogon
ASTRONESTHES SP.;Astronesthes sp
